Precision,Method,QueryType,Mean (ns),Std Dev (ns),Min (ns),Max (ns),Count
double,direct,edge-edge,149.24800000000002,102.70465139000696,9.0,373.22,15
double,direct,vertex-triangle,162.36666666666667,97.01738921205728,10.5,257.0,15
double,poly,edge-edge,146.902,104.2254311028332,9.5,373.03,15
double,poly,vertex-triangle,155.3,92.91447680528584,9.5,245.0,15
double_fast_math,direct,edge-edge,149.10199999999998,102.77038721621821,9.5,373.03,15
double_fast_math,direct,vertex-triangle,161.63333333333333,96.27573249093805,10.5,257.0,15
double_fast_math,poly,edge-edge,145.70199999999997,105.27719833169682,9.0,373.03,15
double_fast_math,poly,vertex-triangle,155.4,92.73641602489747,10.0,245.0,15
float,direct,edge-edge,67.764,56.91564946731008,8.0,248.46,15
float,direct,vertex-triangle,58.03333333333333,37.850017298857466,8.0,134.5,15
float,poly,edge-edge,91.80533333333332,77.11985939030848,8.5,290.08,15
float,poly,vertex-triangle,78.36666666666666,63.01883694201131,9.5,208.5,15
float_fast_math,direct,edge-edge,65.62066666666666,50.7928057991718,8.0,220.81,15
float_fast_math,direct,vertex-triangle,53.733333333333334,31.482912977102508,9.0,81.0,15
float_fast_math,poly,edge-edge,85.648,72.51824393114566,9.0,276.22,15
float_fast_math,poly,vertex-triangle,78.3,63.169217186854546,9.0,208.5,15
